Date,jared_sleep_start,jared_total_sleep,jared_sleep_end
6/20/2024,70,330,420
6/21/2024,35,324,490
6/22/2024,-15,378,420
6/23/2024,40,444,555
6/24/2024,-60,324,300
6/25/2024,-70,501,455
6/26/2024,-30,369,435
6/27/2024,-90,438,420
6/28/2024,-50,273,310
6/29/2024,25,423,470
6/30/2024,-10,441,460
7/1/2024,-70,441,400
7/2/2024,30,387,465
7/3/2024,15,340,435
7/4/2024,45,393,525
7/5/2024,65,273,365
7/6/2024,20,492,525
7/7/2024,30,403,463
7/8/2024,-10,326,325
7/9/2024,-30,417,420
7/10/2024,25,353,420
7/11/2024,-5,285,320
7/12/2024,40,376,425
7/13/2024,-55,428,378
7/14/2024,55,335,425
7/15/2024,-40,394,360
7/16/2024,-75,433,372
7/17/2024,20,374,394
7/18/2024,20,374,399
7/19/2024,-20,410,410
7/20/2024,55,357,410
7/21/2024,35,315,352
7/22/2024,-65,475,420
